Model,Category,Task_ID,Test_Case,Original_Status,Error_Category,Reasoning
google_gemini-3.1-pro-preview,perception_control,task_001_color_blob_tracking,test_07_stop_and_motion_semantics_without_literal_numbers,FAILED,C3,"The generated code lacks an assignment of the angular component to a negated expression, missing the bidirectional turning semantics required for proper motion mapping."
google_gemini-3.1-pro-preview,perception_control,task_001_color_blob_tracking,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"The generated code is empty or failed to parse, which means there is no valid ROS 2 code at all—a critical hard error that the oracle test failed to catch as SUCCESS."
google_gemini-3.1-pro-preview,perception_control,task_002_camera_depth_reach_target,OVERALL_CODE_CHECK,SUCCESS,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which cannot possibly pass the oracle tests that check for specific patterns in the C++ file; this is a critical missed hard error."
google_gemini-3.1-pro-preview,perception_control,task_003_multi_node_perception_control,test_ds4_enum_mapping_present_and_used,FAILED,A1,"No code was generated or parsing failed, so the file is missing and all pattern checks (including DS4_BUTTONS::L1) fail."
google_gemini-3.1-pro-preview,perception_control,task_003_multi_node_perception_control,test_l1_toggle_semantics_fidelity,FAILED,A1,"No code was generated or parsing failed, so the file is missing entirely, causing all pattern checks including this test to fail."
google_gemini-3.1-pro-preview,perception_control,task_003_multi_node_perception_control,test_axis_scaling_and_publish_gating_fidelity,FAILED,E2,"No code was generated or parsing failed, which is a critical hard error preventing any compilation or functionality."
google_gemini-3.1-pro-preview,perception_control,task_003_multi_node_perception_control,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which is a critical hard error that would fail compilation, yet the oracle marked it as SUCCESS."
google_gemini-3.1-pro-preview,perception_control,task_004_mobile_lidar_obstacle_avoidance,test_ros2_lifecycle_and_node_creation,FAILED,A1,"No code was generated or parsing failed, so the required rclpy.spin() call (and everything else) is absent, causing the test to fail."
google_gemini-3.1-pro-preview,perception_control,task_004_mobile_lidar_obstacle_avoidance,test_ros2_timer_rate_and_publish,FAILED,A1,"No code was generated or parsing failed, so the test trivially fails because there is no file or content to match the timer pattern."
google_gemini-3.1-pro-preview,perception_control,task_004_mobile_lidar_obstacle_avoidance,test_decision_uses_signed_cost_table_and_abs_cost,FAILED,E2,"No code was generated or parsing failed, which is a critical hard error preventing any functionality."
google_gemini-3.1-pro-preview,perception_control,task_004_mobile_lidar_obstacle_avoidance,test_control_laws_and_modes_match_reference_semantics,FAILED,E2,"No code was generated or parsing failed, which is a critical hard error preventing any functional ROS 2 migration."
google_gemini-3.1-pro-preview,perception_control,task_004_mobile_lidar_obstacle_avoidance,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which is a critical hard failure that the oracle missed by reporting SUCCESS."
google_gemini-3.1-pro-preview,perception_control,task_005_ORBBEC,test_frameset_retrieves_multimodal_frames_semantically,FAILED,C3,"The generated code's onNewFrameSetCallback does not retrieve the left color frame (no reference to left_color_frame, COLOR_LEFT, or equivalent API), missing required multimodal frame retrieval semantics."
google_gemini-3.1-pro-preview,perception_control,task_005_ORBBEC,test_frameset_applies_filters_before_downstream_use,FAILED,E2,"The generated code is empty (no code was produced), which is a critical hard error preventing any functionality, including failing this specific test for filter processing."
google_gemini-3.1-pro-preview,perception_control,task_005_ORBBEC,test_frameset_alignment_semantics_present,FAILED,A1,"No code was generated or parsing failed, so all tests fail by default including this one checking for align_filter_ reference."
google_gemini-3.1-pro-preview,perception_control,task_005_ORBBEC,test_frameset_dispatches_to_color_queue_or_falls_back_to_pointcloud_publish,FAILED,E2,"No code was generated or the parse failed, which is a critical hard error preventing any compilation or execution."
google_gemini-3.1-pro-preview,perception_control,task_005_ORBBEC,test_frameset_forwards_non_color_streams_through_common_handler,FAILED,A1,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which is a fundamental compilation/parse failure preventing any test from passing."
google_gemini-3.1-pro-preview,perception_control,task_005_ORBBEC,test_color_thread_consumes_fifo_and_processes_in_pipeline_order,FAILED,A1,"No code was generated or parsing failed, so all tests including this one fail due to absent source code."
google_gemini-3.1-pro-preview,perception_control,task_005_ORBBEC,test_single_frame_supports_flip_branch_and_depth_scaling_hook,FAILED,A1,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), so no function body exists for the test to match, causing all assertions to fail."
google_gemini-3.1-pro-preview,perception_control,task_005_ORBBEC,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which is a critical hard error that would fail compilation, but the oracle reported SUCCESS, missing this fatal issue."
google_gemini-3.1-pro-preview,perception_control,task_006_3d_sensor_moveit_arm_control,test_4_async_fallback_mastery,FAILED,C3,"The generated place_object function does not implement the required async fallback pattern with two await calls, an arm_torso fallback branch, and a result return."
google_gemini-3.1-pro-preview,perception_control,task_006_3d_sensor_moveit_arm_control,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"No code was generated or parsing failed, yet the oracle reported SUCCESS; an empty/missing file cannot constitute a valid ROS 2 migration and represents a critical missed hard error."
google_gemini-3.1-pro-preview,perception_control,task_007_autonomous_navigation,test_turn_shortest_path_logic,FAILED,C3,"The generated turn() function does not use the required atan2(sin(error), cos(error)) shortest-path angular difference formula, representing a semantic/behavioral control logic deficiency."
google_gemini-3.1-pro-preview,perception_control,task_007_autonomous_navigation,test_proportional_control_law,FAILED,C3,"The generated turn function uses a hardcoded angular velocity rather than proportional control (Kp * error), violating the expected control law semantics."
google_gemini-3.1-pro-preview,perception_control,task_007_autonomous_navigation,test_emergency_safety_check,FAILED,C3,"The turn function's while loop lacks rclpy.ok() or timeout protection, missing required safety check behavior."
google_gemini-3.1-pro-preview,perception_control,task_007_autonomous_navigation,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"No code was generated or parsing failed, yet the oracle reported SUCCESS, indicating the test framework failed to catch this critical hard error."
google_gemini-3.1-pro-preview,perception_control,task_008_limo_robot,test_ackermann_inverse_kinematics,FAILED,A1,"No code was generated or parsing failed, so the source file is empty and all functional checks fail."
google_gemini-3.1-pro-preview,perception_control,task_008_limo_robot,test_steering_limit_clamping,FAILED,A1,"No code was generated or parsing failed, so the source file is empty and cannot contain the required clamping logic."
google_gemini-3.1-pro-preview,perception_control,task_008_limo_robot,test_odom_integration_frames,FAILED,A1,"No code was generated or parsing failed, so the source file is empty and all content-based regex checks fail."
google_gemini-3.1-pro-preview,perception_control,task_008_limo_robot,test_time_differential_consistency,FAILED,C3,"The generated code defines dt but does not use it to scale displacement (e.g., position_x_ += vx * dt), causing incorrect Euler integration in the odometry calculation."
google_gemini-3.1-pro-preview,perception_control,task_008_limo_robot,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"The generated code is empty or failed to parse, so it cannot possibly satisfy any oracle checks; the oracle reporting SUCCESS is a false negative."
google_gemini-3.1-pro-preview,perception_control,task_009_stretch_pipeline,OVERALL_CODE_CHECK,SUCCESS,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which would obviously fail at runtime, but the oracle test still reported SUCCESS, indicating a missed hard error."
google_gemini-3.1-pro-preview,state_machine,task_001_smach_basic,OVERALL_CODE_CHECK,SUCCESS,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which cannot possibly satisfy the regex-based oracle tests, indicating the oracle status of SUCCESS is incorrect and a hard error was missed."
google_gemini-3.1-pro-preview,state_machine,task_002_mas_execution_manager,test_topic_and_msg_integrity,FAILED,C3,"The generated code's subscription does not use ActionFeedback on the /kcl_rosplan/action_feedback topic, indicating a semantic/behavioral error where the original topic/message logic was not preserved."
google_gemini-3.1-pro-preview,state_machine,task_002_mas_execution_manager,test_interface_params_retention,FAILED,C3,"The generated code failed to preserve the original data flow by not passing the url and prefix parameters to the DomesticOntologyInterface constructor, representing a semantic/behavioral error."
google_gemini-3.1-pro-preview,state_machine,task_002_mas_execution_manager,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which is a critical hard error that the oracle failed to catch as SUCCESS."
google_gemini-3.1-pro-preview,state_machine,task_003_tutorial_baseline,test_service_future_logic,FAILED,C3,"The generated code uses call_async and future.result() but omits spin_until_future_complete, causing the future completion handling check to fail."
google_gemini-3.1-pro-preview,state_machine,task_003_tutorial_baseline,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"No code was generated or parsing failed, which is a critical hard error that should not have resulted in a SUCCESS status."
google_gemini-3.1-pro-preview,state_machine,task_004_ros_task_manage,test_introspection_node_handle,FAILED,C3,"The generated code did not pass the node handle to IntrospectionServer as required by the ROS 2 API, indicating a semantic/behavioral migration error."
google_gemini-3.1-pro-preview,state_machine,task_004_ros_task_manage,test_rclpy_init_protection,FAILED,C3,"The generated code calls rclpy.init() without checking rclpy.ok() first, missing the required safety check for library-style initialization."
google_gemini-3.1-pro-preview,state_machine,task_004_ros_task_manage,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which is a critical hard error that should have caused all tests to fail, but the oracle reported SUCCESS."
google_gemini-3.1-pro-preview,state_machine,task_005_flexbe_behavior_engine,test_placeholder_removal,FAILED,C3,"The generated code retained the NotImplementedError placeholder instead of implementing the actual ROS 2 migration logic, indicating an incomplete semantic migration."
google_gemini-3.1-pro-preview,state_machine,task_005_flexbe_behavior_engine,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which is a critical hard failure that the oracle missed by reporting SUCCESS."
google_gemini-3.1-pro-preview,state_machine,task_006_flexbe_2,test_incremental_update_logic,FAILED,C3,"The generated code fails to implement the incremental update logic that checks if a joint value is None before assigning, causing stale data to overwrite valid values."
google_gemini-3.1-pro-preview,state_machine,task_006_flexbe_2,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which is a critical hard error that the oracle failed to catch as SUCCESS."
google_gemini-3.1-pro-preview,state_machine,task_007_smacc,test_functional_preservation,FAILED,C3,"The generated code omitted the onExit() function logic entirely during migration, losing functional behavior required by the original implementation."
google_gemini-3.1-pro-preview,state_machine,task_007_smacc,test_memory_safety_and_types,FAILED,C3,"The generated code uses risky [=] lambda capture with 'this' but fails to include lifetime protection mechanisms like shared_from_this or weak_ptr, indicating a semantic safety issue in the migration."
google_gemini-3.1-pro-preview,state_machine,task_007_smacc,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"No code was generated or parsing failed, which is a critical hard error that the oracle tests failed to catch as a failure."
google_gemini-3.1-pro-preview,state_machine,task_008A_robot_statemachine_scaffold,test_parameter_lifecycle_strict,FAILED,C3,"The generated code only declares one parameter instead of the required three (topics + timeouts), indicating incomplete migration of parameter declarations."
google_gemini-3.1-pro-preview,state_machine,task_008A_robot_statemachine_scaffold,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which is a critical hard error that the oracle test failed to catch as SUCCESS."
google_gemini-3.1-pro-preview,state_machine,task_009_sm_dance_bot_strikes_back,test_ros2_node_base_interface,FAILED,C3,"The generated code initialized RealtimePublisher without passing get_node_base_interface() as required by ROS 2, causing a semantic/architectural error in the migration."
google_gemini-3.1-pro-preview,state_machine,task_009_sm_dance_bot_strikes_back,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which is a critical hard error that would fail compilation, yet the oracle status is marked SUCCESS."
google_gemini-3.1-pro-preview,sensor_process,task_001_laser_obstacle_detection,OVERALL_CODE_CHECK,SUCCESS,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which is a critical hard error, but the oracle tests passed because regex searches on empty content trivially satisfy negative assertions and the positive assertion would actually fail—indicating the test framework likely didn't execute properly."
google_gemini-3.1-pro-preview,sensor_process,task_002_camera_edge_detection,OVERALL_CODE_CHECK,SUCCESS,E2,"No code was generated, so the file cannot exist and tests should fail; the reported success is a false negative."
google_gemini-3.1-pro-preview,sensor_process,task_003_rgbd_pointcloud_generation,test_mandatory_kernel_call,FAILED,C3,"The generated code does not call the required 'convertDepth' and 'convertRgb' kernel functions, implementing custom conversion logic instead of using the provided library functions."
google_gemini-3.1-pro-preview,sensor_process,task_003_rgbd_pointcloud_generation,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which is a critical hard error that the oracle test failed to catch as SUCCESS."
google_gemini-3.1-pro-preview,sensor_process,task_004_imu_odometry_estimation,test_3d_rotation_coupling,FAILED,C3,"The generated code's transfer function uses only a simple dt mapping (e.g., StateMemberVx -> StateMemberX = dt) without incorporating the 3D rotation terms (cy*cp) required for proper RZYX body-to-global frame projection."
google_gemini-3.1-pro-preview,sensor_process,task_004_imu_odometry_estimation,test_acceleration_3d_projection,FAILED,C3,"The generated code failed to project body-frame acceleration into the global frame using the 3D RZYX rotation terms (cy/cp/sy/sp) scaled by 0.5*dt^2, which is a semantic/behavioral kinematic modeling error."
google_gemini-3.1-pro-preview,sensor_process,task_004_imu_odometry_estimation,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"No code was generated, so the file cannot exist and all tests would fail at the file-read step; the oracle reporting SUCCESS is a missed hard error."
google_gemini-3.1-pro-preview,sensor_process,task_005_sonar_distance_estimation,test_numerical_stability_epsilon,FAILED,C3,"The generated code lacks an epsilon-based numerical stability check (abs(dx) > epsilon) before division, representing a semantic/behavioral error in handling axial ray division-by-zero cases."
google_gemini-3.1-pro-preview,sensor_process,task_005_sonar_distance_estimation,test_sonar_max_range_limit,FAILED,C3,"The generated code lacks a finite maximum sonar range limit, returning numeric_limits::max() instead of a logical sensing distance, which is a semantic/behavioral error."
google_gemini-3.1-pro-preview,sensor_process,task_005_sonar_distance_estimation,test_sonar_y_mirroring_fix,FAILED,C3,"The generated code lacks the inverted Y-direction (dy = -sin(theta)) needed for Qt's coordinate system, indicating a semantic/behavioral error in the sonar logic."
google_gemini-3.1-pro-preview,sensor_process,task_005_sonar_distance_estimation,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"No code was generated or parsing failed, yet the oracle reported SUCCESS, which is a clear missed hard error."
google_gemini-3.1-pro-preview,sensor_process,task_006_image_pipeline,test_template_dispatch_completeness,FAILED,C3,"The generated code is missing the explicit template instantiation dispatch for both uint16_t and float depth encodings, indicating incomplete migration of the template dispatch logic."
google_gemini-3.1-pro-preview,sensor_process,task_006_image_pipeline,test_rgb_offset_style_compliance,FAILED,E1,"The test enforces specific variable naming (red_offset, green_offset, blue_offset) as a style requirement, which is a rigid naming expectation rather than a functional correctness check."
google_gemini-3.1-pro-preview,sensor_process,task_006_image_pipeline,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"No code was generated or parsing failed, which is a critical hard error that the oracle test failed to catch as SUCCESS."
google_gemini-3.1-pro-preview,sensor_process,task_007_hector_slam,test_timestamp_preservation,FAILED,E1,"The code does not contain the exact pattern 'header.stamp = scan->header.stamp', likely using a different variable name or assignment style, which is a rigid format expectation rather than a functional error."
google_gemini-3.1-pro-preview,sensor_process,task_007_hector_slam,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"No code was generated or parsing failed, which means the file is empty/missing and would fail compilation, yet the oracle reported SUCCESS."
google_gemini-3.1-pro-preview,sensor_process,task_008_darknet,test_flexible_logging_macros,FAILED,E2,"The generated code was not produced (parse failed/no code), yet the oracle still ran against an existing file lacking ROS 2 logging APIs; this represents an unhandled generation failure manifesting as a hard error."
google_gemini-3.1-pro-preview,sensor_process,task_008_darknet,test_flexible_mutex_locking,FAILED,C3,"The generated code does not use std::lock_guard or std::unique_lock with std::mutex, failing to implement the required mutex locking semantics for thread safety."
google_gemini-3.1-pro-preview,sensor_process,task_008_darknet,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which is a critical hard error that the oracle failed to catch as SUCCESS."
google_gemini-3.1-pro-preview,sensor_process,task_009_lio_sam,test_callback_group_initialization,FAILED,C3,"The generated code did not include callback group creation, which is a semantic/behavioral omission required for proper concurrent execution in the ROS 2 migration."
google_gemini-3.1-pro-preview,sensor_process,task_009_lio_sam,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"No code was generated or parse failed, which is a critical hard error that the oracle test failed to catch as SUCCESS."
google_gemini-3.1-pro-preview,sensor_process,task_010_radar_velocity_estimation,test_ros2_logging_migration,FAILED,E2,"The generated code output indicates no code was generated or parsing failed, yet the error log shows actual content was tested, suggesting the migration retained ROS 1 logging APIs without converting to RCLCPP node-based macros."
google_gemini-3.1-pro-preview,sensor_process,task_010_radar_velocity_estimation,test_ros2_clock_usage,FAILED,C3,"The generated code did not use the node clock API (this->now() or this->get_clock()->now()) as required by the test, indicating a semantic migration omission."
google_gemini-3.1-pro-preview,sensor_process,task_010_radar_velocity_estimation,test_mutex_lock_guard,FAILED,C3,"The generated code uses manual mutex_.lock()/unlock() calls instead of the RAII-style std::lock_guard<std::mutex> pattern expected by the test, representing a semantic/behavioral deviation from the migration requirement."
google_gemini-3.1-pro-preview,sensor_process,task_010_radar_velocity_estimation,test_zero_timestamp_handling,FAILED,C3,"The generated code did not implement the required '.sec == 0' syntax for zero timestamp checking, indicating a semantic/behavioral omission from the migration requirements."
