Model,Category,Task_ID,Test_Case,Original_Status,Error_Category,Reasoning
google_gemini-3.1-pro-preview,perception_control,task_001_color_blob_tracking,test_02_node_spin_and_image_subscription_pipeline,FAILED,E1,"The code uses `rclcpp::Node::make_shared(""process_image"")` which is a valid ROS2 pattern, but the regex requires `std::make_shared<...>` with angle brackets or a Node subclass, making this a rigid style/format mismatch rather than a functional error."
google_gemini-3.1-pro-preview,perception_control,task_001_color_blob_tracking,test_06_three_region_left_center_right_decision_with_geometry_thresholds,FAILED,E1,"The code uses 'else if' with correct 3-way logic, but the regex requires '{' immediately after 'else if(...)'; the actual code has '{' on the same line which should match - however the regex uses DOTALL and the pattern should match. Looking more carefully, the code does have 'else if (column_index < (img->step / 3) * 2) {' which matches the pattern, so this is a style/format false positive issue with the test's strict regex matching."
google_gemini-3.1-pro-preview,perception_control,task_001_color_blob_tracking,test_07_stop_and_motion_semantics_without_literal_numbers,FAILED,E1,"The code functionally implements turning in both directions via drive_robot(0.5, -0.5) and drive_robot(0.5, 0.5), but the oracle requires a direct assignment to request->angular_z with a negated expression, which is a rigid format expectation rather than a functional correctness issue."
google_gemini-3.1-pro-preview,perception_control,task_001_color_blob_tracking,OVERALL_HIDDEN_ERROR_CHECK,FAILED,P1,"The generated code correctly migrates the ROS 1 process_image node to ROS 2, using rclcpp, proper service client with async_send_request, image subscription with callback, and appropriate three-region decision logic with stop behavior."
google_gemini-3.1-pro-preview,perception_control,task_002_camera_depth_reach_target,OVERALL_CODE_CHECK,SUCCESS,P1,"The code correctly migrates the MoveIt pick-and-place tutorial to ROS 2 using rclcpp, moveit_msgs::msg types, and proper node/executor patterns, satisfying all oracle test patterns."
google_gemini-3.1-pro-preview,perception_control,task_003_multi_node_perception_control,test_ds4_enum_mapping_present_and_used,FAILED,C3,"The generated code uses CROSS button for enable/disable toggle instead of the reference's L1 button with DS4_BUTTONS::L1 scoped enum comparison, causing a semantic mismatch with expected behavior."
google_gemini-3.1-pro-preview,perception_control,task_003_multi_node_perception_control,test_l1_toggle_semantics_fidelity,FAILED,C3,"The generated code uses a toggle pattern on button press (value==1) instead of the reference's press-to-enable (value==1) and release-to-disable (value==0) semantics, missing the required event.value==0 check and associated disable behavior."
google_gemini-3.1-pro-preview,perception_control,task_003_multi_node_perception_control,test_axis_scaling_and_publish_gating_fidelity,FAILED,C3,"The generated code publishes cmd_vel whenever enabled is true, but the reference behavior requires gating on both enabled AND non-zero velocity components, representing a semantic behavioral deviation."
google_gemini-3.1-pro-preview,perception_control,task_003_multi_node_perception_control,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"The generated code uses CROSS button instead of L1 for enable/disable, doesn't check event.value==0 for release, lacks the gated publish condition (enabled && (linear.x!=0 || angular.z!=0)), and doesn't set linear.x/angular.z to 0 on disable - all of which would fail the oracle's strict fidelity checks, yet the oracle reportedly passed."
google_gemini-3.1-pro-preview,perception_control,task_004_mobile_lidar_obstacle_avoidance,test_ros2_scaffold_and_no_ros1,FAILED,A1,"No code was generated or parsing failed, so the file is empty/missing and cannot satisfy any ROS 2 scaffold requirements."
